time,last_low,last_high,last_open,last_close,last_volume,current_open,target_close,period_return,target_trade,profit
1577494800,125.8,127.6,126.23,127.38,2334.1944782,127.38,127.19,-0.0014915999371957742,-1,0.1895268794159186
1577498400,126.84,128.0,127.38,127.19,3221.30488445,127.17,126.73,-0.0034599355193834845,-1,0.43803915074309757
1577502000,126.27,127.65,127.17,126.73,12225.25462311,126.68,126.9,0.0017366592990211466,1,0.2201616829807377
1577505600,126.44,126.99,126.68,126.9,1730.88976233,126.9,127.32,0.0033096926713947,1,0.42096868085105127
1577509200,126.65,127.65,126.9,127.32,724.27943339,127.67,127.69,0.00015665387326698537,0,0.0
1577512800,127.27,127.98,127.67,127.69,652.86789611,127.66,126.93,-0.005718314272285679,-1,0.7250998049506401
1577516400,126.93,128.27,127.66,126.93,2078.51854624,126.93,126.92,-7.878358150165536e-05,0,-0.0
1577520000,126.7,127.35,126.93,126.92,1111.18825507,126.96,127.1,0.001102709514807818,1,0.1400142249527416
1577523600,126.48,127.16,126.96,127.1,686.67029094,127.06,126.93,-0.0010231386746418656,-1,0.12973712498031972
1577527200,126.89,127.16,127.06,126.93,451.3840222,126.92,127.49,0.004491017964071802,1,0.5719873203592746
1577530800,126.61,127.6,126.92,127.49,748.13282853,127.4,126.86,-0.004238618524332859,-1,0.5371734348508695
1577534400,126.69,127.4,127.4,126.86,483.05652859,126.86,127.28,0.0033107362446791874,1,0.42096911871354425
1577538000,126.85,127.36,126.86,127.28,820.17718691,127.27,127.07,-0.0015714622456195714,-1,0.19948602184332803
1577541600,126.87,127.31,127.27,127.07,707.95581436,127.06,127.72,0.005194396348181934,1,0.6627648732882068
1577545200,126.92,127.72,127.06,127.72,729.67626403,127.6,127.24,-0.002821316614420058,-1,0.35862534169278937
1577548800,126.87,128.1,127.6,127.24,1597.31857167,127.24,127.89,0.0051084564602326766,1,0.6526671762024578
1577552400,126.76,128.1,127.24,127.89,1336.84048621,127.88,129.03,0.008992805755395728,1,1.1591813848920922
